time,flux_norm
-0.008016669750213623,0.7525981
0.026150000095367432,-0.9284304
0.06025000015894572,0.7525981
0.09441666603088379,-0.87797374
0.12853333155314128,0.7536351
0.16264999707539876,-0.9874173
0.19681666692097982,0.7525981
0.2309166669845581,-0.87797374
0.2650333325068156,0.7525981
0.29919999837875366,-0.9874173
0.33331666390101117,0.7525981
0.36748332977294923,-1.0584333
0.4015833298365275,0.7536351
0.435699999332428,-0.9284304
0.46986666520436604,0.7515534
0.5039833307266235,-0.9874173
0.5381499965985616,0.7525981
0.5722499966621399,-0.9874173
0.6063666661580404,0.7536351
0.6405333320299784,-0.9874173
0.6746499975522359,0.7525981
0.708816663424174,-0.9874173
0.7429166634877523,0.7536351
0.7770333329836527,-0.9874173
0.8111999988555908,0.7536351
0.8453166643778484,-0.9284304
0.8794833302497864,0.7536351
0.9135833303133647,-0.9284304
0.9476999998092651,0.7546695
0.9818666656812032,-0.9874173
1.0159833312034607,0.7525981
1.0501499970753987,-0.9284304
1.084249997138977,0.7546695
1.1183666666348775,-0.9874173
1.1525333325068157,0.7525981
1.186649998029073,-0.9874173
1.2208166639010112,0.7525981
1.2549166639645895,-0.9874173
1.28903333346049,0.7536351
1.323199999332428,-0.9874173
1.3573166648546855,0.7546695
1.3914833307266234,-0.9874173
1.4255833307902017,0.7536351
1.4597000002861023,-0.9874173
1.4938666661580404,0.7536351
1.5279833316802978,-0.9284304
1.562149997552236,0.7536351
1.5962499976158142,-1.0584333
1.6303666631380718,0.7536351
1.6645333329836527,-0.9874173
1.6986499985059103,0.7536351
1.7328166643778482,-0.9874173
1.7669166644414267,0.75673276
1.801033329963684,-0.9874173
1.8351999998092652,0.7536351
1.8693166653315225,-0.9874173
1.9034833312034607,0.7557046
1.937583331267039,-0.9874173
1.9716999967892965,0.7546695
2.0058666666348777,-0.9874173
2.039983332157135,0.7557046
2.074149998029073,-0.9874173
2.1082499980926515,0.75673276
2.142366663614909,-0.9874173
2.17653333346049,0.7557046
2.2106499989827473,-0.9874173
2.2448166648546857,0.7546695
2.2789166649182637,-0.9874173
2.313033330440521,0.7557046
2.3471499999364216,-1.0584333
2.38131666580836,0.7557046
2.415416665871938,-0.9874173
2.449583331743876,0.7557046
2.4836999972661338,-0.9874173
2.5178166667620343,0.7536351
2.5519833326339723,-1.0584333
2.5860833326975503,0.7557046
2.6202499985694887,-1.1476529
2.654366664091746,0.7546695
2.6884833335876466,-1.0584333
2.7226499994595845,0.7536351
2.756749999523163,-1.0584333
2.790916665395101,0.7536351
2.8250333309173583,-1.0584333
2.859149996439616,0.7546695
2.893316666285197,-1.0584333
2.9274166663487753,0.7557046
2.9615833322207132,-1.1476529
2.9956999977429706,0.7546695
3.0298166632652284,-1.0584333
3.0639833331108095,0.7536351
3.0980833331743876,-1.1476529
3.1322499990463255,0.7546695
3.1663666645685833,-1.0584333
3.2004833300908406,0.7536351
3.2346499999364218,-1.1476529
3.26875,0.7536351
3.302916665871938,-1.1476529
3.3370333313941956,0.7536351
3.371149996916453,-0.9874173
3.405316666762034,0.7557046
3.4394166668256125,-0.9874173
3.4735833326975505,0.7546695
3.507699998219808,-1.1476529
3.5418166637420656,0.7557046
3.5759833335876463,-1.0584333
3.610083333651225,0.7577579
3.6442499995231628,-1.0584333
3.6783666650454205,0.7557046
3.712483330567678,-0.9874173
3.746649996439616,0.75673276
3.7807499965031943,-1.0584333
3.814916666348775,0.75673276
